Round,Grand Prix,Circuit,Race date
1,Australian Grand Prix,"Albert Park Circuit,Melbourne",16 March
2,Chinese Grand Prix,"Shanghai International Circuit,Shanghai",23 March
3,Japanese Grand Prix,"Suzuka International Racing Course,Suzuka",6 April
4,Bahrain Grand Prix,"Bahrain International Circuit,Sakhir",13 April
5,Saudi Arabian Grand Prix,"Jeddah Corniche Circuit,Jeddah",20 April
6,Miami Grand Prix,"Miami International Autodrome,Miami Gardens, Florida",4 May
7,Emilia Romagna Grand Prix,"Imola Circuit,Imola",18 May
8,Monaco Grand Prix,"Circuit de Monaco,Monaco",25 May
9,Spanish Grand Prix,"Circuit de Barcelona-Catalunya,Montmeló",1 June
10,Canadian Grand Prix,"Circuit Gilles Villeneuve,Montreal",15 June
11,Austrian Grand Prix,"Red Bull Ring,Spielberg",29 June
12,British Grand Prix,"Silverstone Circuit,Silverstone",6 July
13,Belgian Grand Prix,"Circuit de Spa-Francorchamps,Stavelot",27 July
14,Hungarian Grand Prix,"Hungaroring,Mogyoród",3 August
15,Dutch Grand Prix,"Circuit Zandvoort,Zandvoort",31 August
16,Italian Grand Prix,"Monza Circuit,Monza",7 September
17,Azerbaijan Grand Prix,"Baku City Circuit,Baku",21 September
18,Singapore Grand Prix,"Marina Bay Street Circuit,Singapore",5 October
19,United States Grand Prix,"Circuit of the Americas,Austin, Texas",19 October
20,Mexico City Grand Prix,"Autódromo Hermanos Rodríguez,Mexico City",26 October
21,São Paulo Grand Prix,"Interlagos Circuit,São Paulo",9 November
22,Las Vegas Grand Prix,"Las Vegas Strip Circuit,Paradise, Nevada",22 November[c]
23,Qatar Grand Prix,"Lusail International Circuit,Lusail",30 November
24,Abu Dhabi Grand Prix,"Yas Marina Circuit,Abu Dhabi",7 December
